date,Rockbound Tax-Efficient 2035,Vanguard 2035,S&P 500
2025-02-12,10000.0,10000.0,10000.0
2025-02-13,10001.278,10089.32245289892,10104.367041445965
2025-02-14,10001.703999999998,10097.443473162482,10105.99830413285
2025-02-17,10001.703999999998,,
2025-02-18,10003.407999999998,10117.743632003134,10132.2497402974
2025-02-19,10003.833999999999,10105.56289888054,10156.509450238045
2025-02-20,10004.259999999998,10101.502388748757,10113.847012227128
2025-02-21,10004.685999999998,10020.300956113402,9941.626197109685
2025-02-24,9977.687527999999,9987.820861422912,9892.581131826142
2025-02-25,9965.093528,9995.941084413722,9846.452811211811
2025-02-26,10008.521528000001,10016.241243254373,9848.001850036891
2025-02-27,9879.551528,9914.738854505615,9691.85359747749
2025-02-28,9963.089998999998,9979.69984115935,9846.731050887029
2025-03-03,9900.439998999998,9910.678344373833,9674.375153710904
2025-03-04,9846.433998999997,9857.898090842693,9556.281132193213
2025-03-05,10001.643998999998,9955.33996945967,9663.128838184177
2025-03-06,9848.763998999997,9853.83758071091,9491.215628406879
2025-03-07,9886.593998999999,9894.438695664965,9545.034816666486
2025-03-10,9592.465998999998,9732.034235848747,9289.278228663094
2025-03-11,9580.527998999996,9695.493631026475,9219.078138363675
2025-03-12,9639.363998999997,9727.97452298972,9264.326957313337
2025-03-13,9551.637998999997,9663.012739063233,9136.399842893694
2025-03-14,9747.915998999997,9788.876594057177,9332.572028470015
2025-03-17,9774.689157612996,9853.83758071091,9393.118890565182
2025-03-18,9731.634886940996,9817.29697588864,9293.390155894976
2025-03-19,9832.582886940998,9874.137739551561,9393.810451974294
2025-03-20,9809.010886940998,9849.77707057913,9374.43718867807
2025-03-21,9768.944886940999,9833.536624597507,9382.420978831029
2025-03-24,9871.422886940998,9902.558121383023,9548.049202171596
2025-03-25,9904.514886940997,9914.738854505616,9563.46030312708
2025-03-26,9776.464886940998,9837.597134729289,9456.763096168886
2025-03-27,9767.010886941,9829.476114465724,9425.526838382397
2025-03-28,9635.164886940998,9736.094745980528,9239.789741839102
2025-03-31,9642.626886941,9740.154458839559,9291.924075073326
2025-04-01,9700.264886940999,9768.575637943772,9327.294284340396
2025-04-02,9742.300886940999,9805.116242766044,9390.32181098056
2025-04-03,9418.616886941,9573.691083437063,8936.296328924816
2025-04-04,8677.628886940998,9208.283440668834,8403.545904040353
2025-04-07,8549.906886940998,9102.720541788292,8384.059582934147
2025-04-08,8405.570886941,9017.458599021154,8252.45662140684
2025-04-09,9120.344886941,9476.249204820087,9037.828849563373
2025-04-10,8852.462886941,9309.785829417595,8726.607127781024
2025-04-11,9070.762886941,9435.648089866034,8884.710399483169
2025-04-14,9160.227105308202,9516.850319774143,8955.315735958628
2025-04-15,9217.711105308203,9529.030255623982,8940.686495831915
2025-04-16,9096.0878766742,9443.768312856844,8740.567564888946
2025-04-17,9153.531876674202,9476.249204820087,8752.302818736765
2025-04-18,9153.531876674202,,
2025-04-21,9039.7938766742,9378.80732620311,8546.756378773032
2025-04-22,9220.125490274202,9512.78980964236,8761.646973317625
2025-04-23,9328.331490274202,9593.991242277714,8907.804292526074
2025-04-24,9508.6494902742,9723.91481013069,9088.271720497603
2025-04-25,9578.9194902742,9756.39570209393,9155.31426767538
2025-04-28,9632.4554902742,9784.816083925392,9161.350380101829
2025-04-29,9685.209490274201,9817.296975888634,9214.537472423806
2025-04-30,9693.781490274201,9829.47611446572,9228.911231265625
2025-05-01,9679.8054902742,9837.597134729285,9287.158027655118
2025-05-02,9813.0214902742,9935.03901334626,9424.2266735676
2025-05-05,9806.5534902742,9910.67834437383,9364.566654553333
2025-05-06,9810.109490274199,9882.257962542366,9292.638394872758
2025-05-07,9811.0554902742,9882.257962542366,9333.098408013893
2025-05-08,9798.2434902742,9906.618631514799,9387.239884446113
2025-05-09,9832.197490274199,9918.79856736464,9382.210280185154
2025-05-12,9985.1774902742,10069.02149678551,9688.793695191744
2025-05-13,10093.5054902742,10109.622611739565,9759.278632440988
2025-05-14,10067.9414902742,10097.443473162479,9769.721062890247
2025-05-15,10155.869490274199,10150.22372669362,9812.525924376076
2025-05-16,10224.131490274198,10190.824841647676,9882.56009866864
2025-05-19,10254.513490274196,10207.065287629297,9892.656014271719
2025-05-20,10241.159490274196,10190.824841647676,9854.47404258756
2025-05-21,10119.015490274196,10093.3829630307,9695.777584453823
2025-05-22,10158.605490274198,10093.3829630307,9691.66565722194
2025-05-23,10150.053490274198,10081.202229908105,9627.232249373232
2025-05-26,10150.053490274198,,
2025-05-27,10287.229490274196,10207.065287629297,9825.005597829882
2025-05-28,10165.979490274198,10154.284236825404,9770.389865909037
2025-05-29,10251.933490274196,10190.824841647676,9809.73692034931
2025-05-30,10236.885490274195,10194.885351779458,9809.827219768971
2025-06-02,10323.541490274196,10231.425956601728,9851.257033994434
2025-06-03,10331.641490274194,10247.665605310596,9908.548712132064
2025-06-04,10400.315490274192,10276.08678441481,9909.691036497856
2025-06-05,10343.505490274194,10255.78662557416,9858.195406475868
2025-06-06,10380.459490274194,10296.387740528213,9960.690386782519
2025-06-09,10413.611490274196,10316.687899368862,9970.704078523795
2025-06-10,10453.625490274195,10353.228504191135,10025.703032371983
2025-06-11,10487.357490274195,10349.167994059351,9998.323954674102
2025-06-12,10536.303490274195,10389.769109013405,10036.648349833173
2025-06-13,10399.511490274195,10288.266720264644,9924.944297004342
2025-06-16,10439.277709474196,10341.047771068539,10019.793926446357
2025-06-17,10355.179709474194,10284.207007405617,9936.41599400941
2025-06-18,10344.217709474195,10288.266720264644,9933.679848179518
2025-06-19,10344.217709474195,,
2025-06-20,10287.949709474193,10259.846338433183,9912.600439750837
2025-06-23,10366.579709474194,10320.747612227888,10008.006548543284
2025-06-24,10532.985709474191,10320.747612227888,10119.530002532792
2025-06-25,10537.665709474191,10414.129777985834,10119.582860729668
2025-06-26,10642.117709474192,10487.21098763038,10200.863350548958
2025-06-27,10665.589709474194,10515.632166734595,10254.846986532179
2025-06-30,10728.767709474194,10556.232484415896,10308.680857624251
2025-07-01,10704.597709474196,10552.172771556867,10297.381683900649
2025-07-02,10743.093709474195,10580.593153388329,10346.517048603851
2025-07-03,10777.609709474194,10621.194268342384,10434.428305564434
2025-07-04,10777.609709474194,,
2025-07-07,10687.569709474194,10544.052548566056,10352.583994978477
2025-07-08,10670.841709474194,10552.172771556867,10345.231566621522
2025-07-09,10756.369709474195,10604.954619633516,10408.071153006133
2025-07-10,10763.039709474193,10621.194268342384,10438.118835504563
2025-07-11,10605.995016674195,10572.473727670273,10403.703744489356
2025-07-14,10684.617016674194,10580.59315338833,10418.370425838853
2025-07-15,10647.805016674194,10539.992038434277,10378.121111343595
2025-07-16,10703.165296674193,10568.413217538491,10411.266137350562
2025-07-17,10756.113296674192,10609.01353521979,10467.33253311897
2025-07-18,10749.959296674191,10609.01353521979,10467.031535053433
2025-07-21,10831.475296674193,10633.375001464978,10481.924332022896
2025-07-22,10861.309296674193,10657.734873164654,10488.832604697778
2025-07-23,10963.987296674193,10738.937103072763,10570.902296762073
2025-07-24,10942.445296674192,10718.63614695936,10578.36778292901
2025-07-25,10941.321296674192,10738.937103072763,10620.970021326819
2025-07-28,10888.189296674193,10702.396498250491,10622.842082466133
2025-07-29,10923.701296674193,10698.335988118708,10591.456059788497
2025-07-30,10859.825296674195,10661.795383296436,10578.28482492558
2025-07-31,10777.757296674194,10621.194268342382,10540.035312212083
2025-08-01,10676.493296674193,10560.292994547677,10371.91908291029
2025-08-04,10867.085296674191,10665.855096155465,10525.173349190798
2025-08-05,10824.17129667419,10657.734873164654,10474.196023154831
2025-08-06,10916.537296674189,10702.396498250491,10550.477008519718
2025-08-07,10967.71529667419,10718.63614695936,10542.20763727531
2025-08-08,11007.83329667419,10751.117038922603,10625.404970872936
2025-08-11,10999.05329667419,10734.877390213733,10599.853171675353
2025-08-12,11165.08129667419,10816.078025576337,10720.435199154272
2025-08-13,11233.519296674192,10868.859873652986,10755.414845077767
2025-08-14,11191.405296674193,10844.499204680553,10759.060592378877
2025-08-15,11133.765296674192,10836.378981689742,10730.313808836865
2025-08-18,11168.069296674192,10844.499204680553,10730.050251994115
2025-08-19,11087.647296674193,10812.01831271731,10668.090167274171
2025-08-20,11112.677296674194,10803.89888699925,10642.417968850374
2025-08-21,11049.565296674193,10775.477707895036,10601.176094880464
2025-08-22,11268.425296674193,10909.460988607038,10762.624115818184
2025-08-25,11186.889296674193,10852.619427671361,10716.92453391184
2025-08-26,11213.307296674193,10881.039809502823,10761.909796018752
2025-08-27,11210.003296674193,10885.100319634606,10787.6656865876
2025-08-28,11251.937296674192,10917.580414325097,10821.983136766912
2025-08-29,11163.489296674194,10868.859873652986,10753.70062438745
2025-09-01,11163.489296674194,,
2025-09-02,11096.577296674195,10816.078025576338,10681.396484195766
2025-09-03,11179.825296674195,10848.558917539582,10736.07241572972
2025-09-04,11252.687296674196,10909.460988607038,10826.644201932997
